	G_intestinali_aa	G_muris_aa	G_salmonicida_aa
OG0003645	KAE8301199.1		
OG0003646	KAE8301200.1		
OG0003647	KAE8301206.1		
OG0003648	KAE8301215.1		
OG0003649	KAE8301233.1		
OG0003650	KAE8301234.1		
OG0003651	KAE8301235.1		
OG0003652	KAE8301239.1		
OG0003653	KAE8301255.1		
OG0003654	KAE8301268.1		
OG0003655	KAE8301279.1		
OG0003656	KAE8301288.1		
OG0003657	KAE8301325.1		
OG0003658	KAE8301326.1		
OG0003659	KAE8301350.1		
OG0003660	KAE8301352.1		
OG0003661	KAE8301353.1		
OG0003662	KAE8301363.1		
OG0003663	KAE8301367.1		
OG0003664	KAE8301375.1		
OG0003665	KAE8301376.1		
OG0003666	KAE8301379.1		
OG0003667	KAE8301381.1		
OG0003668	KAE8301385.1		
OG0003669	KAE8301386.1		
OG0003670	KAE8301387.1		
OG0003671	KAE8301390.1		
OG0003672	KAE8301391.1		
OG0003673	KAE8301394.1		
OG0003674	KAE8301398.1		
OG0003675	KAE8301399.1		
OG0003676	KAE8301405.1		
OG0003677	KAE8301407.1		
OG0003678	KAE8301414.1		
OG0003679	KAE8301416.1		
OG0003680	KAE8301427.1		
OG0003681	KAE8301437.1		
OG0003682	KAE8301438.1		
OG0003683	KAE8301442.1		
OG0003684	KAE8301448.1		
OG0003685	KAE8301449.1		
OG0003686	KAE8301451.1		
OG0003687	KAE8301457.1		
OG0003688	KAE8301458.1		
OG0003689	KAE8301472.1		
OG0003690	KAE8301477.1		
OG0003691	KAE8301486.1		
OG0003692	KAE8301495.1		
OG0003693	KAE8301497.1		
OG0003694	KAE8301499.1		
OG0003695	KAE8301509.1		
OG0003696	KAE8301513.1		
OG0003697	KAE8301531.1		
OG0003698	KAE8301538.1		
OG0003699	KAE8301556.1		
OG0003700	KAE8301557.1		
OG0003701	KAE8301558.1		
OG0003702	KAE8301560.1		
OG0003703	KAE8301564.1		
OG0003704	KAE8301587.1		
OG0003705	KAE8301591.1		
OG0003706	KAE8301612.1		
OG0003707	KAE8301621.1		
OG0003708	KAE8301623.1		
OG0003709	KAE8301650.1		
OG0003710	KAE8301658.1		
OG0003711	KAE8301659.1		
OG0003712	KAE8301661.1		
OG0003713	KAE8301663.1		
OG0003714	KAE8301665.1		
OG0003715	KAE8301676.1		
OG0003716	KAE8301685.1		
OG0003717	KAE8301688.1		
OG0003718	KAE8301704.1		
OG0003719	KAE8301724.1		
OG0003720	KAE8301754.1		
OG0003721	KAE8301758.1		
OG0003722	KAE8301771.1		
OG0003723	KAE8301784.1		
OG0003724	KAE8301793.1		
OG0003725	KAE8301795.1		
OG0003726	KAE8301805.1		
OG0003727	KAE8301810.1		
OG0003728	KAE8301811.1		
OG0003729	KAE8301812.1		
OG0003730	KAE8301818.1		
OG0003731	KAE8301822.1		
OG0003732	KAE8301827.1		
OG0003733	KAE8301832.1		
OG0003734	KAE8301838.1		
OG0003735	KAE8301856.1		
OG0003736	KAE8301868.1		
OG0003737	KAE8301890.1		
OG0003738	KAE8301892.1		
OG0003739	KAE8301894.1		
OG0003740	KAE8301906.1		
OG0003741	KAE8301917.1		
OG0003742	KAE8301919.1		
OG0003743	KAE8301928.1		
OG0003744	KAE8301936.1		
OG0003745	KAE8301985.1		
OG0003746	KAE8301997.1		
OG0003747	KAE8302003.1		
OG0003748	KAE8302007.1		
OG0003749	KAE8302027.1		
OG0003750	KAE8302040.1		
OG0003751	KAE8302047.1		
OG0003752	KAE8302054.1		
OG0003753	KAE8302069.1		
OG0003754	KAE8302070.1		
OG0003755	KAE8302085.1		
OG0003756	KAE8302093.1		
OG0003757	KAE8302094.1		
OG0003758	KAE8302099.1		
OG0003759	KAE8302106.1		
OG0003760	KAE8302107.1		
OG0003761	KAE8302117.1		
OG0003762	KAE8302124.1		
OG0003763	KAE8302138.1		
OG0003764	KAE8302153.1		
OG0003765	KAE8302161.1		
OG0003766	KAE8302165.1		
OG0003767	KAE8302191.1		
OG0003768	KAE8302194.1		
OG0003769	KAE8302195.1		
OG0003770	KAE8302197.1		
OG0003771	KAE8302208.1		
OG0003772	KAE8302216.1		
OG0003773	KAE8302217.1		
OG0003774	KAE8302218.1		
OG0003775	KAE8302270.1		
OG0003776	KAE8302272.1		
OG0003777	KAE8302279.1		
OG0003778	KAE8302281.1		
OG0003779	KAE8302287.1		
OG0003780	KAE8302288.1		
OG0003781	KAE8302292.1		
OG0003782	KAE8302299.1		
OG0003783	KAE8302309.1		
OG0003784	KAE8302311.1		
OG0003785	KAE8302312.1		
OG0003786	KAE8302320.1		
OG0003787	KAE8302322.1		
OG0003788	KAE8302337.1		
OG0003789	KAE8302348.1		
OG0003790	KAE8302355.1		
OG0003791	KAE8302356.1		
OG0003792	KAE8302360.1		
OG0003793	KAE8302366.1		
OG0003794	KAE8302367.1		
OG0003795	KAE8302368.1		
OG0003796	KAE8302372.1		
OG0003797	KAE8302373.1		
OG0003798	KAE8302374.1		
OG0003799	KAE8302375.1		
OG0003800	KAE8302385.1		
OG0003801	KAE8302389.1		
OG0003802	KAE8302396.1		
OG0003803	KAE8302397.1		
OG0003804	KAE8302399.1		
OG0003805	KAE8302401.1		
OG0003806	KAE8302436.1		
OG0003807	KAE8302461.1		
OG0003808	KAE8302463.1		
OG0003809	KAE8302481.1		
OG0003810	KAE8302482.1		
OG0003811	KAE8302484.1		
OG0003812	KAE8302487.1		
OG0003813	KAE8302500.1		
OG0003814	KAE8302501.1		
OG0003815	KAE8302510.1		
OG0003816	KAE8302515.1		
OG0003817	KAE8302517.1		
OG0003818	KAE8302519.1		
OG0003819	KAE8302553.1		
OG0003820	KAE8302565.1		
OG0003821	KAE8302578.1		
OG0003822	KAE8302579.1		
OG0003823	KAE8302581.1		
OG0003824	KAE8302583.1		
OG0003825	KAE8302605.1		
OG0003826	KAE8302606.1		
OG0003827	KAE8302607.1		
OG0003828	KAE8302637.1		
OG0003829	KAE8302648.1		
OG0003830	KAE8302649.1		
OG0003831	KAE8302652.1		
OG0003832	KAE8302653.1		
OG0003833	KAE8302654.1		
OG0003834	KAE8302664.1		
OG0003835	KAE8302675.1		
OG0003836	KAE8302676.1		
OG0003837	KAE8302682.1		
OG0003838	KAE8302700.1		
OG0003839	KAE8302701.1		
OG0003840	KAE8302702.1		
OG0003841	KAE8302703.1		
OG0003842	KAE8302704.1		
OG0003843	KAE8302710.1		
OG0003844	KAE8302719.1		
OG0003845	KAE8302722.1		
OG0003846	KAE8302744.1		
OG0003847	KAE8302753.1		
OG0003848	KAE8302762.1		
OG0003849	KAE8302766.1		
OG0003850	KAE8302768.1		
OG0003851	KAE8302769.1		
OG0003852	KAE8302771.1		
OG0003853	KAE8302777.1		
OG0003854	KAE8302792.1		
OG0003855	KAE8302824.1		
OG0003856	KAE8302825.1		
OG0003857	KAE8302834.1		
OG0003858	KAE8302839.1		
OG0003859	KAE8302842.1		
OG0003860	KAE8302848.1		
OG0003861	KAE8302849.1		
OG0003862	KAE8302863.1		
OG0003863	KAE8302876.1		
OG0003864	KAE8302884.1		
OG0003865	KAE8302888.1		
OG0003866	KAE8302894.1		
OG0003867	KAE8302895.1		
OG0003868	KAE8302902.1		
OG0003869	KAE8302913.1		
OG0003870	KAE8302928.1		
OG0003871	KAE8302932.1		
OG0003872	KAE8302934.1		
OG0003873	KAE8302935.1		
OG0003874	KAE8302944.1		
OG0003875	KAE8302946.1		
OG0003876	KAE8302947.1		
OG0003877	KAE8302954.1		
OG0003878	KAE8302956.1		
OG0003879	KAE8302964.1		
OG0003880	KAE8302967.1		
OG0003881	KAE8302972.1		
OG0003882	KAE8302975.1		
OG0003883	KAE8302977.1		
OG0003884	KAE8302996.1		
OG0003885	KAE8302997.1		
OG0003886	KAE8302998.1		
OG0003887	KAE8303026.1		
OG0003888	KAE8303027.1		
OG0003889	KAE8303033.1		
OG0003890	KAE8303035.1		
OG0003891	KAE8303036.1		
OG0003892	KAE8303038.1		
OG0003893	KAE8303042.1		
OG0003894	KAE8303047.1		
OG0003895	KAE8303053.1		
OG0003896	KAE8303063.1		
OG0003897	KAE8303066.1		
OG0003898	KAE8303069.1		
OG0003899	KAE8303070.1		
OG0003900	KAE8303081.1		
OG0003901	KAE8303083.1		
OG0003902	KAE8303088.1		
OG0003903	KAE8303093.1		
OG0003904	KAE8303105.1		
OG0003905	KAE8303110.1		
OG0003906	KAE8303113.1		
OG0003907	KAE8303120.1		
OG0003908	KAE8303126.1		
OG0003909	KAE8303134.1		
OG0003910	KAE8303142.1		
OG0003911	KAE8303144.1		
OG0003912	KAE8303148.1		
OG0003913	KAE8303158.1		
OG0003914	KAE8303159.1		
OG0003915	KAE8303182.1		
OG0003916	KAE8303183.1		
OG0003917	KAE8303196.1		
OG0003918	KAE8303201.1		
OG0003919	KAE8303202.1		
OG0003920	KAE8303204.1		
OG0003921	KAE8303205.1		
OG0003922	KAE8303207.1		
OG0003923	KAE8303212.1		
OG0003924	KAE8303232.1		
OG0003925	KAE8303238.1		
OG0003926	KAE8303249.1		
OG0003927	KAE8303257.1		
OG0003928	KAE8303266.1		
OG0003929	KAE8303267.1		
OG0003930	KAE8303269.1		
OG0003931	KAE8303281.1		
OG0003932	KAE8303287.1		
OG0003933	KAE8303301.1		
OG0003934	KAE8303302.1		
OG0003935	KAE8303312.1		
OG0003936	KAE8303313.1		
OG0003937	KAE8303328.1		
OG0003938	KAE8303337.1		
OG0003939	KAE8303341.1		
OG0003940	KAE8303342.1		
OG0003941	KAE8303356.1		
OG0003942	KAE8303363.1		
OG0003943	KAE8303370.1		
OG0003944	KAE8303393.1		
OG0003945	KAE8303396.1		
OG0003946	KAE8303404.1		
OG0003947	KAE8303415.1		
OG0003948	KAE8303428.1		
OG0003949	KAE8303430.1		
OG0003950	KAE8303432.1		
OG0003951	KAE8303450.1		
OG0003952	KAE8303466.1		
OG0003953	KAE8303474.1		
OG0003954	KAE8303476.1		
OG0003955	KAE8303487.1		
OG0003956	KAE8303488.1		
OG0003957	KAE8303492.1		
OG0003958	KAE8303497.1		
OG0003959	KAE8303499.1		
OG0003960	KAE8303501.1		
OG0003961	KAE8303507.1		
OG0003962	KAE8303508.1		
OG0003963	KAE8303515.1		
OG0003964	KAE8303521.1		
OG0003965	KAE8303526.1		
OG0003966	KAE8303527.1		
OG0003967	KAE8303561.1		
OG0003968	KAE8303569.1		
OG0003969	KAE8303572.1		
OG0003970	KAE8303583.1		
OG0003971	KAE8303585.1		
OG0003972	KAE8303595.1		
OG0003973	KAE8303598.1		
OG0003974	KAE8303603.1		
OG0003975	KAE8303609.1		
OG0003976	KAE8303620.1		
OG0003977	KAE8303622.1		
OG0003978	KAE8303626.1		
OG0003979	KAE8303638.1		
OG0003980	KAE8303643.1		
OG0003981	KAE8303647.1		
OG0003982	KAE8303650.1		
OG0003983	KAE8303652.1		
OG0003984	KAE8303658.1		
OG0003985	KAE8303665.1		
OG0003986	KAE8303666.1		
OG0003987	KAE8303673.1		
OG0003988	KAE8303680.1		
OG0003989	KAE8303684.1		
